ICAO,IATA,Nome_Aeroporto,Cidade
BR-0988,,Fazenda Guanandy Airport,Ponta Porã
BR-0989,,Fazenda GAP São Pedro Airstrip,Uruguaiana
BR-0990,,Cacoal Tradição Helipad,Cacoal
BR-0991,,Morumbi Corporate Helipad,São Paulo
BR-0992,,Chica Doce Heliport,Pindoretama
BR-0993,,Pedra Caída Heliport,Carolina
BR-0994,,Concrelagos Heliport,Itaperuna
BR-0995,,Fazenda Iracema Airport,Cáceres
BR-0996,,Rancho Sinuelo Airport,Caracol
BR-0997,,Fazenda Retiro da Lagoa Heliport,Paraopeba
BR-0998,,All Park Polo Empresarial Heliport,Aparecida de Goiânia
BR-0999,,Fazenda Ouro Verde Airport,Porto Alegre do Norte
BR-1000,,Condomínio Trio Ribeirão Helipad.,Ribeirão Preto
BR-1001,,Fazenda Santo Reis Airport,Lambari d'Oeste
BR-1002,,Fazenda Lagoa Nova Airstrip,Damianópolis
BR-1003,,Pista Aldeia Aukre,Ourilândia do Norte
BR-1004,,Cifarma Heliport,Goiânia
BR-1005,,Monte Sinai IV Helipad,Bauru
BR-1006,,Molocopote Airstrip,
BR-1007,,Jardim Metropolitano Heliport,Eusébio
BR-1008,,Sérgio Miranda Airport,Macapá
BR-1009,,Reobot Heliport,Jarinu
BR-1010,,Fazenda Topázio Imperial Airport,Gameleiras
BR-1011,,Fazenda Colorado Airport,
BR-1012,,Fundação Santa Casa de Misericórdia do Pará Helipad,Belém
BR-1013,,Fazenda Vitória Airport,Luís Eduardo Magalhães
BR-1014,,Estância Tejo Airport,Coxim
BR-1015,,Fazenda Figueira II Airport,Água Clara
BR-1016,,Torre Oscar Niemeyer Helipad,Rio de Janeiro
BR-1017,,Berrini One Helipad,São Paulo
BR-1018,,Fazenda Tamboril Airport,Bom Jesus de Goiás
BR-1019,,Fazenda Serra Dourada Airport,Coxim
BR-1020,,ITC Central Park I Helipad,Fortaleza
BR-1021,,Águas Claras Airport,Viamão
BR-1022,,Fazenda Uberaba Airport,Cáceres
BR-1023,,Fazenda Campo Grande Airport,lagoas
BR-1024,,The One Office Tower Helipad.,São José dos Campos
BR-1025,,Cruz Heliport,Lauro de Freitas
BR-1026,,KL Aviação Agrícola Airport,Camaquã
BR-1027,,Helicentro Porto Itaguaí Heliport,Itaguaí
BR-1028,,Pousada Fazenda Virá Heliport,Teixeira Soares
BR-1029,,Fazenda Rancho Alegre Airport,Cocalinho
BR-1030,,Fazenda Vianmacel,Nova Maringá
BR-1031,,Comandante Milton Tosto Airport,Bonito
BR-1032,,Centúria Montana Airport,Formosa do Rio Preto
BR-1033,,Quimigel Heliport,Monte Mor
BR-1034,,Pista Bom Jesus,Itaituba
BR-1035,,Russi e Russi 2 Heliport,Porto Belo
BR-1036,,Agropecuária Santa Rita Airport,Rio Verde de Mato Grosso
BR-1037,,Fazenda Estrela do Sul Airport,Rio Brilhante
BR-1038,,Fazenda Santana Airport,Formosa do Rio Preto
BR-1039,,Fazenda Ilha Verde Airstrip,Corumbá
BR-1040,,Del Rio Helipad,Maracanaú
BR-1041,,GOLD STAR Heliport,Nipoã
BR-1042,,Clube de Voo Aeroquadra Airport,Quadra
BR-1043,,Fazenda Fortuna Airstrip,Jacareacanga
BR-1044,,Villa San Marco Helipad,Campos do Jordão
BR-1045,,Chaperó Heliport,Itaguaí
BR-1046,,Fazenda Vale do Boi II Airport,São Félix do Araguaia
BR-1047,,Asas do Cerrado Airstrip,Uberlândia
BR-1048,,Ycatu Heliport,Amparo
BR-1049,,Parque Ana Costa Helipad,Santos
BR-1050,,Pista Aldeia Moykarako,São Félix do Xingu
BR-1051,,Alceu Feldmann Heliport,Bombinhas
BR-1052,,Magnum Residência Heliport,Araçoiaba da Serra
BR-1053,,Fazenda São Sebastião Airport,Aquidauana
BR-1054,,Ten. Brig. Ar Waldir de Vasconcelos Airport,Rio de Janeiro
BR-1055,,Fazenda Barreiros Heliport,Ilhabela
BR-1056,,Fazenda Comil Airport,Sapezal
BR-1057,,Siframar Helipad,Itapema
BR-1058,,Miriti Internacional Golfe Marina Helipad,Marituba
BR-1059,,Fazenda Pioneira Airport,Querência
BR-1060,,José Bernardo Airport,São Francisco de Itabapoana
BR-1061,,São João da Barra Airport,São João da Barra
BR-1062,,Fazenda Lagoa Serena Airport,José de Freitas
BR-1063,,Fazenda Cambara Airport,Porto dos Gaúchos
BR-1064,,Fazenda Lageado Airport,Três Lagoas
BR-1065,,Pista Aldeia Kokraymoro,São Félix do Xingu
BR-1066,,Fazenda Barra do Triunfo Airport,São Félix do Xingu
BR-1067,,Pretel 88 Heliport,Itaí
BR-1068,,Fazenda Santa Isabel Airport,Aquidauana
BR-1069,,Cana Brava Heliport,Arandu
BR-1070,,Lunender Têxtil Heliport,Guaramirim
BR-1071,,Fazenda São José Airport,Serranópolis
BR-1072,,Recanto dos Mouras Airport,Afogados da Ingazeira
BR-1073,,Centro Empresarial Senado Helipad,Rio de Janeiro
BR-1074,,Fazenda Sertaneja Airport,Ananás
BR-1075,,Fazenda Estrela Airstrip,Lábrea
BR-1076,,Fazenda Tereré Airstrip,Porto Murtinho
BR-1077,,Briogold C1 Heliport,Santaluz
BR-1078,,Fazenda Cachoeira do Café Airport,Formosa do Rio Preto
BR-1079,,DZ47 Airstrip,Tijucas
BR-1080,,Fazenda Flor de Liz,Gaúcha do Norte
BR-1081,,Fazenda Santo André II Airport,Nova Maringá
BR-1082,,Mocelin II Airport,Dois Vizinhos
BR-1083,,Gaúcha do Norte Airport,Gaúcha do Norte
BR-1084,,Taxaquara Golf Club Heliport,São Roque
BR-1085,,Portal do Porto Helipad,São José dos Pinhais
BR-1087,,Helisul Afonso Pena Heliport,São José dos Pinhais
BR-1088,,Alphaville Araçagy Heliport,Paço do Lumiar
BR-1089,,Fazed Santa Bárbara Airport,Manga
BR-1090,,Nossa Senhora Aparecida Airstrip,Rio Maria
BR-1091,,EZ Towers B Helipad,São Paulo
BR-1092,,São José dos Campos Helipad,São José dos Campos
BR-1093,,Fazenda Alto Jaborandir Airstrip,Jaborandi
BR-1094,,Berge Vile Airport,Portão
BR-1095,,Fazenda Serrana Airport,Correntina
BR-1096,,Condomínio Vitassay Heliport,Boituva
BR-1097,,Convem Heliport,Magé
BR-1098,,Fazenda Carajás Airport,Sapezal
BR-1099,,Colombo I Heliport,Santa Adélia
BR-1100,,Comando Piloto Heliport,São José do Rio Pardo
BR-1101,,Catuleve Airport,Aquiraz
BR-1102,,Fazenda Santa Cármen Airstrip,Abunã
BR-1103,,Helicentro do Pontal,Rio de Janeiro
BR-1104,,Jardim das Perdizes Helipad,São Paulo
BR-1105,,Fazenda Ipiranga,Loanda
BR-1106,,Fazenda São José Airport,Camapuã
BR-1107,,Metaneide Heliport,Maracanaú
BR-1108,,Malwee Pomerode Helipad,Pomerode
BR-1109,,Marcus Barbosa Empresarial Calhau Helipad,São Luís
BR-1110,,Modelo II Heliport,Ribas do Rio Pardo
BR-1111,,Parque do Peão Heliport,Barretos
BR-1112,,Fazenda Cristal Airport,Corumbá
BR-1113,,Main Estate Helipad,Guarulhos
BR-1114,,Baltt Heliport,Penha
BR-1115,,Evanderto Almeida Airport,Assaré
BR-1116,,Eurofarma Laboratórios S.A. Helipad,Itapevi
BR-1117,,Fazenda Fartura Airstrip,Campo Verde
BR-1118,,Fazenda Jaraguá Airport,Terenos
BR-1119,,Fazenda Sorriso Airport,Mossâmedes
BR-1120,,Instituto Dr. José Frota Helipad,Fortaleza
BR-1121,,Fazenda São Francisco Airport,São Francisco de Goiás
BR-1122,,Fazenda Flamingo Airport,Campo Novo do Parecis
BR-1123,,Miraflores Heliport,Boa Vista
BR-1124,,Fazenda JAD Airport,Santa Rita do Tocantins
BR-1125,,Getúlio Vargas University Hospital Heliport,Manaus
BR-1126,,Fazenda São Gabriel Airport,Curvelo
BR-1127,,Fazenda Irmãos Garcia Airport,Campo Novo do Parecis
BR-1128,,Haras MTostes Heliport,Itabirito
BR-1129,,Sítio São Jorge Airport,Itapeva
BR-1130,,Helicentro Guaratiba Heliport,Rio de Janeiro
BR-1131,,Comandante Zequinha / Grand Lake Airport,Luziânia
BR-1132,,AGO Helipad,Rio de Janeiro
BR-1133,,Guarapá Heliport,Santos
BR-1134,,Ledware Heliport,Cruzeiro
BR-1135,,Santa Maria Airport,Flores de Goiás
BR-1136,,Fazenda Futura Airport,Brasilândia de Minas
BR-1137,,Fazenda São Geraldo Airport,Couto Magalhães
BR-1138,,Gutierrez Heliport,Sete Lagoas
BR-1139,,Grota Funda Heliport,Rio de Janeiro
BR-1140,,Hospital do Coração - Unidade Santa Alice Helipad,Londrina
BR-1141,,Josidith Airport,Darcinópolis
BR-1142,,Fazenda Mãe d´água Heliport,Petrópolis
BR-1143,,Haras Bella Vista Heliport,São Pedro
BR-1144,,Aerosigma Helicentro Heliport,Bocaiúva do Sul
BR-1145,,Aníbal Azevedo Filho Airstrip,Mata de São João
BR-1146,,Fazenda São João Airport,Baixa Grande do Ribeiro
BR-1147,,Helinorte Heliport,Marabá
BR-1148,,JT Fazenda Santana Heliport,Valinhos
BR-1149,,Aeroclube Airport,Birigui
BR-1150,,Pauini Airport,Pauini
BR-1151,,Fazenda Agromaster Airport,Marcelândia
BR-1152,,Fazenda Terra Morena Airport,Correntina
BR-1153,,Fazenda Platô Azul,Tiros
BR-1154,,Fazenda Nova Aliança Airport,Glicério
BR-1155,,Fazenda Nova Esperança Airport,São Félix do Xingu
BR-1156,,Fazenda Buriti Airport,Valentim Gentil
BR-1157,,MC Heliport,Silvânia
BR-1158,,Pista Nove de Outubro,Itaituba
BR-1159,,Fazenda Rosário Airport,Macapá
BR-1160,,Grupo Souza Lima Helipad,São Paulo
BR-1161,,Destilaria Veredas Airport,João Pinheiro
BR-1162,,Fazenda Lagoa Airport,Lagoa Grande
BR-1163,,Rio Trombetas Airstrip,
BR-1164,,Fazenda Nossa Senhora Aparecida Airport,Tapurah
BR-1165,,Office Premium Indaiatuba Helipad,Indaiatuba
BR-1166,,Fazenda São Jerônimo Airport,Alto Garças
BR-1167,,Jordanésia Heliport,Cajamar
BR-1168,,Fazenda Onça do Barão,Cocos
BR-1169,,AGETOP Heliport,Goiânia
BR-1170,,Fazenda Alegria Airport,São José do Xingu
BR-1172,,Fazenda Uberaba Airport,Comodoro
BR-1173,,Palácio Rio Madeira Helipad,Porto Velho
BR-1174,,Polícia Militar do Estado de Goiás Heliport,Goiânia
BR-1175,,Fazenda Santa Maria da Nhecolândia Airport,Corumbá
BR-1176,,Silva Jardim Helipad,São Bernardo do Campo
BR-1177,,Fazenda 2J Airport,Novo São Joaquim
BR-1178,,Polícia Militar de Minas Gerais - Juíz de Fora Heliport,Juiz de Fora
BR-1179,,Tech Office Helipad,São Luís
BR-1180,,Fazenda Laguna Airport,Eldorado
BR-1181,,Haras Larissa Heliport,Sumaré
BR-1182,,Fazenda Caregi Airport,Ipiranga do Norte
BR-1183,,Fazenda Veneza Airport,Caseara
BR-1184,,Fazenda Iaciara,Iaciara
BR-1185,,Fazenda Cafenápolis Airport,Eunápolis
BR-1186,,Fazenda Santri Airport,Barão de Melgaço
BR-1187,,Santa Colomba Agropecuária Airport,Cocos
BR-1188,,Pirelli Eden Heliport,Sorocaba
BR-1189,,Cajupi Airport,Baixa Grande do Ribeiro
BR-1190,,Ecobalsa / Flyone Heliport,Rio de Janeiro
BR-1191,,Fazenda Paraíso Airport,Conceição das Alagoas
BR-1192,,Fermap Airport,Sorriso
BR-1193,,Morizono Helipad,São Paulo
BR-1194,,Fazenda Tupã Airport,Gaúcha do Norte
BR-1195,,Fazenda Timbaúba Airport,Luís Eduardo Magalhães
BR-1196,,Fazenda Córrego Fundo Airport,Água Boa
BR-1197,,Agropecuária Lazarotto Airport,Tapurah
BR-1198,,Fazenda Selena Airport,Alto Garças
BR-1199,,Fazenda Conquista Airstrip,Santa Carmem
BR-1200,,Fazenda Bacaba – JEM Airstrip,Miranorte
BR-1201,,Fazenda São Caetano Airport,Primavera do Leste
BR-1202,,Fazenda Taiamã Airport,Corumbá
BR-1204,,FBDM Heliport,Barrocas
BR-1205,,Madereira Airport,Colniza
BR-1206,,Fazenda Fundão Airport,Paracatu
BR-1207,,BS Design II Helipad,Fortaleza
BR-1208,,Fazenda Fortaleza Airport,Boa Vista do Incra
BR-1209,,Fazenda Cuelhambi Airport,Angélica
BR-1210,,Fazenda Laguna Porã Airport,Porto Murtinho
BR-1211,,Komprão Itapema Heliport,Itapema
BR-1212,,Fazenda Santa Gertrudes Heliport,Itapetininga
BR-1213,,Santa Colomba Cafés Airport,Cocos
BR-1214,,Fazenda Água Nascente Airport,Sonora
BR-1215,,Icon Realty Cajamar Helipad,Cajamar
BR-1216,,Fazenda Pessegueiro Airport,Passo Fundo
BR-1217,,Fapar Heliport,Caxias do Sul
BR-1218,,AAGV - Associação Aerodesportiva de Getulio Vargas Airport,Getúlio Vargas
BR-1219,,Fazenda Novo Horizonte Airport,Capitão Enéas
BR-1220,,Ilha dos Coqueiros Heliport,Angra dos Reis
BR-1221,,Fazenda Boa Vista - Grupo IJP Airport,Sorriso
BR-1222,,Fazenda Nova Santa Rita Airport,Itaituba
BR-1223,,Infinity Helipad,Araranguá
BR-1224,,Aero Roça Airport,Luziânia
BR-1225,,Represa Avaré Heliport,Avaré
BR-1226,,Arroz Cristal Heliport,Aparecida de Goiânia
BR-1227,,Fazenda da Vida Heliport,Cabaceiras do Paraguaçu
BR-1228,,Décio Ituiutaba Heliport,Ituiutaba
BR-1229,,Haras Bandeirantes Airstrip,São Simão
BR-1230,,Fazenda Vargas Airstrip,Pontes e Lacerda
BR-1231,,Fazenda Lago Verde Airport,Cocalinho
BR-1232,,Fazenda Bela Vista Airstrip,Panorama
BR-1233,,Fazenda Novo Horizonte IV Airport,Biquinhas
BR-1234,,Fazenda Cachoeira Heliport,Cruzília
BR-1235,,Aeródromo Paranhos,Paranhos
BR-1236,,Fazenda Toledo Airport,Sorriso
BR-1237,,Fazenda Acalanto Helipad,Duque de Caxias
BR-1238,,Unifique Helipad,Timbó
BR-1239,,Hospital Regional do Vale do Jaguaribe Heliport,Limoeiro do Norte
BR-1240,,Ninho das Águias Conquista Airport,Vitória da Conquista
BR-1241,,Riserva Golf Heliport,Rio de Janeiro
BR-1242,,Fabio Fernando Franciscate Heliport,Caçapava
BR-1243,,Fazenda Ouro Verde,Corumbá
BR-1244,,Monte das Oliveiras (Comandante Sérgio) Airport,Cururupu
BR-1245,,Vokkan Vivapark Heliport,Porto Belo
BR-1246,,Fazenda Santa Maria III Airport,Coxim
BR-1247,,Fazenda Mangabas Airport,Santa Vitória
BR-1248,,Fazenda Primavera,Setubinha
BR-1249,,Fazenda Campo das Princesas Airport,Timon
BR-1250,,André Sampaio Heliport,Palmeiras
BR-1251,,Fazenda Cachoeira Airport,Ponta Porã
BR-1252,,Hospital Geral de Fortaleza (HGF) Helipad,Fortaleza
BR-1253,,Fazenda Cerro Porã Airport,Porto Murtinho
BR-1254,,Fazenda São José Airstrip,Matupá
BR-1255,,Posto O Fazendeiro Heliport,Miracatu
BR-1256,,Fazenda São João Airport,Matupá
BR-1257,,Fazendas Apóstolo Simão Coffee Airport,Rio Pardo de Minas
BR-1258,,Porto Conceição Airport,Porto Murtinho
BR-1259,,Pista Aldeia Kikretum,Ourilândia do Norte
BR-1260,,Pista Aldeia Kedjêrêkrã,São Félix do Xingu
BR-1261,,Fazenda Siriema Airport,Campos de Júlio
BR-1262,,CEO Helipad,Salvador
BR-1263,,Planalto Indústria Mecânica Heliport,Goiânia
BR-1264,,Pista do Limão,Itaituba
BR-1265,,Jundiá Heliport,Macaé
BR-1266,,Veja Heliport,Paço do Lumiar
BR-1267,,Fazenda Promissão Airport,União do Sul
BR-1268,,Quatro Ventos Airport,Uberlândia
BR-1269,,Clube de Ultraleves do Piauí Airport,Teresina
BR-1270,,Grupo Shimohira Airport,Formosa do Rio Preto
BR-1271,,Hospital de Clínicas Municipal Helipad,São Bernardo do Campo
BR-1272,,Fazenda Fortaleza Airport,Jaborandi
BR-1273,,Fazenda Confiança Airport,Baixa Grande do Ribeiro
BR-1274,,Rincão do Céu Heliport,Igarassu(Igaraçu)
BR-1275,,Fazenda Santa Tereza Airport,União do Sul
BR-1276,,Fazenda Formosa Airstrip,Formosa do Rio Preto
BR-1277,,Fazenda Peça Rara Agropecuária II Airport,Alta Floresta d'Oeste
BR-1278,,P.E. Anori Heliport,Anori
BR-1279,,Grupo Pronorte Airport,Marcelândia
BR-1280,,Fazenda São Bento do Nabileque Airport.,Corumbá
BR-1281,,Mineração Riacho dos Machados Heliport,Riacho dos Machados
BR-1282,,Fazenda São Jorge Airport,Guaratinga
BR-1283,,Hospital Sírio Libanês II Helipad,São Paulo
BR-1284,,Chácara Marcella Airport,Goioerê
BR-1285,,Quinta do Carangola Heliport,Petrópolis
BR-1286,,Colinas Shopping Helipad,São José dos Campos
BR-1287,,SICPA Heliport,Rio de Janeiro
BR-1288,,Helbor Concept Helipad,Moji das Cruzes
BR-1289,,Academia Nacional da Polícia Rodoviária Federal Heliport,Florianópolis
BR-1290,,Tênis Camp Heliport,Artur Nogueira
BR-1291,,Fazenda Matão Airport,Porto Murtinho
BR-1292,,Josidith Heliport,Horizonte
BR-1293,,Fazenda Jatobá Airport,Diamantino
BR-1294,,Fazenda Itakiray Airport,Itaquiraí
BR-1295,,Fazenda Triunfo Airport,Candeias do Jamari
BR-1296,,Tabuleiro III Airport,São Desidério
BR-1297,,Delazzeri Airport,Campos de Júlio
BR-1298,,Fazenda Timbaúba I Airport,Aurora do Tocantins
BR-1299,,Fazenda ABC Airport,Buritis
BR-1300,,Fazenda Santa Cruz Airport,Padre Bernardo
BR-1301,,Fazenda Uirapuru Airport,Araguanã
BR-1302,,Fazenda Juruna Airport,Peixoto de Azevedo
BR-1303,,Maximus Helipad,Ituporanga
BR-1304,,Fazenda Juscelândia,Jussara
BR-1305,,Fazenda São Clemente Airport,São José dos Campos
BR-1306,,Fazenda Vitória Airport,Nova Ubiratã
BR-1307,,Bugio Airport,Pedrinhas Paulista
BR-1308,,Vivicon Helipad,São Paulo
BR-1309,,Fazenda Santo André IV Airport,Paranatinga
BR-1310,,Fazenda Gameleira Airport,Vila Bela da Santíssima Trindade
BR-1311,,Vale Europeu Airport,Guaramirim
BR-1312,,Fazenda Rio Verde Airport,Loreto
BR-1313,,Maicom Manica Airport,Unaí
BR-1314,,Fazenda Viviane Airport,Dueré
BR-1315,,Represa Fazenda Capão da Cruz Airport,Guatapará
BR-1316,,Fazenda Bartira Airport,Rancharia
BR-1317,,RDP Heliport,Mangaratiba
BR-1318,,Pátio das Américas Helipad,São José dos Campos
BR-1319,,Joule Agropecuária Airport,Cocalinho
BR-1320,,Fazenda Tucumã Airport,Correntina
BR-1321,,Dimensão Indústria Heliport,São Luís
BR-1322,,Clube de Aviação de Itaúna Airport,Itaúna
BR-1323,,Fazenda Rancho Bonito Airport,Bonito
BR-1324,,Grupo Petrópolis Itapissuma Heliport,Itapissuma
BR-1325,,Niquini Heliport,Betim
BR-1326,,Grupo DH Airport,Jaborandi
BR-1327,,Kamar Heliport,Mangaratiba
BR-1328,,Cargo Park Heliport,Rio de Janeiro
BR-1329,,Fazenda Pacu Heliport,Inhaúma
BR-1330,,BCW Heliport,Penha
BR-1331,,Thabor Heliport,Caieiras
BR-1332,,Fazenda Yvy-Pita Airport,Juti
BR-1333,,Fazenda Jequitiba Heliport.,Porto Feliz
BR-1334,,Fazenda Cima Airport,Sapezal
BR-1335,,Zi Viol Airport,Campo Grande
BR-1336,,Fazenda Bom Retiro Airport,Itaqui
BR-1337,,Fazenda Rodeio Airport,São Miguel do Guaporé
BR-1338,,Abreu Rocha Helipad,Praia Grande
BR-1339,,Nuclep Heliport,Itaguaí
BR-1340,,Kapoto Airport,Peixoto de Azevedo
BR-1341,,HBR Lead Corporate Faria Lima Helipad,São Paulo
BR-1342,,Cialne Umirim Airport,Umirim
BR-1343,,Fazenda Fresadora Airport,Gonçalves Dias
BR-1344,,Júlio Simões - Matriz Helipad,Moji das Cruzes
BR-1345,,The One Office Tower Taubaté Helipad,Taubaté
BR-1346,,Ibiza Blumenau Helipad,Blumenau
BR-1347,,Joatinga Heliport,Rio de Janeiro
BR-1348,,Green Metals Heliport,Brumadinho
BR-1349,,Leonardo da Vincí Helipad,Sorocaba
BR-1350,,MJ Heliport,Campo Largo
BR-1351,,Fazenda Quebraxo Airport,Porto Murtinho
BR-1352,,Fazenda Viçosa Airport,Naviraí
BR-1353,,Fazenda Marli Airport,Camapuã
BR-1354,,Blue Tower Helipad,Campos dos Goytacazes
BR-1355,,Fazenda Santa Clara Airport,Rio Verde de Mato Grosso
BR-1356,,Nova Mutum Airport,Nova Mutum
BR-1357,,J.C. Peralta Airstrip,Itaituba
BR-1358,,Fazenda Joá Airport,Caarapó
BR-1359,,Fazenda São Marcos Airport,Vila Bela da Santíssima Trindade
BR-1361,,Fazenda Três Flechas Airport,Vila Rica
BR-1362,,Ilha do Almeida Heliport,Angra dos Reis
BR-1363,,Fazenda Campo Aliancinha Airstrip,Corumbá
BR-1364,,Trindade Heliport,Vitória
BR-1365,,Fazenda Santa Maria Airport,Corumbá
BR-1366,,Acácio Favacho Airport,Pracuúba
BR-1367,,Pista Maranhense,Itaituba
BR-1368,,Sítio Baronesa Heliport,Campos do Jordão
BR-1369,,Fazenda Parceiro Airport,Corrente
BR-1370,,Fazenda Modelo Airport,Campo Verde
BR-1371,,Piraquê II Heliport,Queimados
BR-1372,,Ellece Helipad,Guarulhos
BR-1373,,João Fonseca Airport,Envira
BR-1374,,Fazenda Santa Maria Airport,Cornélio Procópio
BR-1375,,Hilário Grandi Airport,Unaí
BR-1376,,Betel Heliport,Rio de Janeiro
BR-1377,,Edifício Sede Direcional Engenharia Helipad,Belo Horizonte
BR-1378,,Passargada Heliport,Porto Seguro
BR-1379,,Central Ferraz Airport,Herculândia
BR-1380,,Henrimar Táxi Aéreo Heliport,Salvador
BR-1381,,Fazenda São Domingos Airport,Ribas do Rio Pardo
BR-1382,,Apodi Quixeré Heliport,Quixeré
BR-1383,,Gercino Coelho Airport,Formosa do Rio Preto
BR-1384,,Baltt Helipad,Balneário Camboriú
BR-1385,,Fazenda Treze Estrelas Airport,Araguaína
BR-1386,,Teston Heliport,Cianorte
BR-1387,,Gran Palazzo Helipad,Chapecó
BR-1388,,Fazenda Arruda Ramos Airstrip,Porto Esperidião
BR-1389,,Uberlândia Business Tower Helipad,Uberlândia
BR-1390,,Rancho Bela Vista Airport,São José do Rio Claro
BR-1391,,Fazenda Morada Bela Airport,Morada Nova de Minas
BR-1392,,Fazenda Senhora Aparecida Airstrip,Tangará da Serra
BR-1393,,Fazenda Ventura III Airstrip,São Desidério
BR-1394,,Ventura I Airstrip,São Desidério
BR-1395,,Fazenda Vitória Santa Airport,Santa Vitória
BR-1396,,Fazenda Paraíso Airstrip,Várzea da Palma
BR-1397,,Fazenda União Airstrip,Brasilândia
BR-1398,,Albor Heliport,Araquari
BR-1399,,Bom Sossego Airport,Porto Seguro
BR-1400,,Clube Estância Ouro Verde Airport,Santa Rita
BR-1401,,Marcelo Machado Heliport,Juiz de Fora
BR-1402,,Fazenda Parecis Airport,Diamantino
BR-1403,,M Executive Taubaté Heliport,Taubaté
BR-1404,,Fazenda Vista Alegre Airport,Campo Grande
BR-1405,,Fazenda Santa Maria Airport,Santana do Araguaia
BR-1406,,Igarashi 2 Heliport,Cristalina
BR-1407,,Alberto Ramos Airport,Cordisburgo
BR-1408,,Superluna Heliport,Betim
BR-1409,,Velo Città Heliport,Mogi Guaçu
BR-1410,,Fazenda Gruta Azul Airport,Dois Irmãos do Buriti
BR-1411,,Garça Branca Heliport,Embu
BR-1412,,Ilha dos Sonhos Helipad,Angra dos Reis
BR-1413,,Josidith II Heliport,Leopoldo de Bulhões
BR-1414,,Isaias Luiz Pereira Airport,Nova Ubiratã
BR-1415,,New York Tower Helipad,Araçatuba
BR-1416,,Hospital Metropolitano Oeste Helipad,Recife
BR-1417,,Fazenda Rio Preto Airport,Guararapes
BR-1418,,Parque Empresarial Campinas  Helipad,Campinas
BR-1419,,Fazenda Rio 18 Airport,Cumaru do Norte
BR-1420,,CICC Helipad,Rio de Janeiro
BR-1421,,Fazenda Cervinho Airstrip,Aquidauana
BR-1422,,Fazenda Capivara Airport,Pimenteiras do Oeste
BR-1423,,Fazenda Santa Zélia Airstrip,Itaqui
BR-1424,,AFG II Airport,Tangará da Serra
BR-1425,,Fazenda Novo Horizonte Airport,Jaíba
BR-1426,,Fagulha Heliport,Fortaleza
BR-1427,,Yachthouse 01 Helipad,Balneário Camboriú
BR-1428,,Yachthouse 02 Helipad,Balneário Camboriú
BR-1429,,Santa Helena Heliport,Votorantim
BR-1430,,Fazenda Chaparral Airport,Correntina
BR-1431,,Brazlândia Regional Hospital Helipad,Brazlândia
BR-1432,,Alvorada Palace Heliport,Brasília
BR-1433,,Aqualina Helipad,Atibaia
BR-1434,,Fazenda Santa Rosália Airport,Corumbá
BR-1435,,Fazenda Juá Airstrip,
BR-1436,,Chave de Ouro Airstrip,Acarape
BR-1437,,Fazenda Jacaju Airport,Boqueirão do Cesário
BR-1438,,Fazenda Riacho Verde Airstrip,Santa Catarina
BR-1439,,Custódio Airport,Quixeramobim
BR-1440,,José Ellery Marinho de Góes Airport,Uruquê
BR-1441,,Limoeiro do Norte Airport,Limoeiro do Norte
BR-1442,,Chapada do Apodi Airport,Quixeré
BR-1443,,Macáuzinho Airport,Macau
BR-1444,,Campos de Melo Airport,São José de Mipibu
BR-1445,,Poço Branco Airport,Poço Branco
BR-1446,,Senador Pompeu Airport,Senador Pompeu
BR-1447,,Mombaça North Airport,Mombaça
BR-1448,,Acopiara Airport,Acopiara
BR-1449,,Martins Airport,Martins
BR-1450,,Jucurutu Airport,Jucurutu
BR-1451,,Tangará Airport,Tangará
BR-1452,,José Sérgio Maia Airport,Catolé da Rocha
BR-1453,,Icó Airport,Icó
BR-1454,,Cedro Airport,Cedro
BR-1455,,Orós Airport,Orós
BR-1456,,Reserva Mangabeiras Heliport,Estância
BR-1457,,Fazenda Yara Airport,Campo Grande
BR-1458,,Fazenda Chapadinha Airport,São Pedro do Sul
BR-1459,,SJ Agropecuária Airstrip,Correntina
BR-1460,,Pilar do Sul Airstrip,Pilar do Sul
BR-1461,,Amambaí Airport,Amambaí
BR-1462,,Fazenda Serra Azul Heliport,Medina
BR-1463,,Fazenda Progresso Airport,Mucugê
BR-1464,,Fazenda Viveiros Airport,Pirapora
BR-1465,,Antonio Furlaneto Airport,Dom Eliseu
BR-1466,,Fazenda Chapadão Airport,Santo Antônio do Leverger
BR-1467,,LC Corporate Green Tower Helipad,Fortaleza
BR-1468,,FNSC Airstrip,Sorriso
BR-1469,,Fazenda Capivari Airstrip,Rio Brilhante
BR-1470,,Fiocruz Heliport,Fiocruz
BR-1471,,IURD Helipad,Curitiba
BR-1472,,JC Helipad,Osasco
BR-1473,,Fazenda Paiol do Piquiri Airstrip,Goioxim
BR-1474,,Hospital Universitário Cajuru Helipad,Curitiba
BR-1475,,Ages Bonfim Heliport,Senhor do Bonfim
BR-1476,,Marchesi Heliport,Ribeirão Preto
BR-1477,,Fazenda Paraíso Airstrip,Dourados
BR-1478,,Fazenda São Paulo Airport,Rio Verde de Mato Grosso
BR-1479,,Fazenda Entre Rios I Airport,Figueirão
BR-1480,,Fazenda Serra Negra Airport,Vila Bela da Santíssima Trindade
BR-1481,,Fazenda São José Airport,Itaituba
BR-1482,,Fazenda Santa Maria Airport,Correntina
BR-1483,,Fazenda Brasil Fronteira Airstrip,Pimenteiras do Oeste
BR-1484,,Fazenda Garrote II Airport,Britânia
